original_name,vlink,releasedate,members,group_name
더보이즈(THE BOYZ) '소년(BOY)'  DANCE PRACTICE VIDEO (화랑 FUN ver.),tQsWGV-UBNw,2017-12-31,male,The Boyz
THE BOYZ(더보이즈) 'Bloom Bloom' DANCE PRACTICE VIDEO (Hero Unmask ver.),9OCVJ3LIJ4g,2019-05-07,male,The Boyz
"Stray Kids ""Double Knot"" Dance Practice Video",tdb3BRhigyI,2019-10-13,male,Stray Kids
빅스(VIXX) - 평행우주 (PARALLEL) Dance Practice Video,ch2juBP3Alk,2019-10-13,male,VIXX
TXT (투모로우바이투게더) ‘9와 4분의 3 승강장에서 너를 기다려 (Run Away)’ Dance Practice,jqHslIR2x7w,2019-10-27,male,TXT
VAV - 'POISON' Dance Practice (Halloween Ver.),7DXpcZfsWS0,2019-10-30,male,VAV
"GOT7 ""니가 부르는 나의 이름(You Calling My Name)"" Dance Practice",oOuxQCj-6p0,2019-11-11,male,GOT7
DAWN (던) - 'MONEY' Dance Practice,LfkKzHZrCpM,2019-11-08,male,DAWN
[Dance Practice] 몬스타엑스 (MONSTA X) - 'FOLLOW'',oP5CqpPzJJ4,2019-11-17,male,MONSTA X
TXT (투모로우바이투게더) ‘Angel Or Devil’ Dance Practice,KyQacFvXWAM,2019-12-01,male,TXT
EXO-M 엑소엠 'History' Dance Practice (Chinese Ver.),99xNWlK9qM0,2012-03-14,male,EXO-M
"박진영 (J.Y. Park) ""FEVER (Short Ver.)"" Dance Practice Video",H3O6yxcSm9I,2019-12-08,male,JYPark
"Stray Kids ""바람 (Levanter)"" Dance Practice Video",9uWD8C5so7U,2019-12-11,male,Stray Kids
"Stray Kids ""Get Cool"" Dance Practice (Full Cam Ver.)",ZgshlqvumOo,2018-11-20,male,Stray Kids
ATEEZ(에이티즈) - 'WONDERLAND' Dance Practice,hmWVbmeA3gs,2019-12-19,male,ATEEZ
"Stray Kids ""바람 (Levanter)"" Dance Practice Video (Lovestay ver.)",fs9zzKkeyuE,2019-12-19,male,Stray Kids
EXO 엑소 'Obsession' Dance Practice,rMLli8Efe3s,2019-12-20,male,EXO
박지훈(PARK JIHOON) - '360' Dance Practice (Christmas ver.),dloR5zfX8T4,2019-12-24,male,Park Jihoon
[CHOREOGRAPHY] BTS (방탄소년단) 2019 MMA 'Dionysus' Dance Practice,bccr1BwNI0Y,2020-01-03,male,BTS
VERIVERY - 'Lay Back' Dance Practice Video,7OioXxPPGkM,2020-01-11,male,Verivery
CIX (씨아이엑스) - '순수의 시대 (Numb)' Dance Practice Video,7mLBuOolJyA,2020-01-13,male,CIX
CIX (씨아이엑스) - 'Rewind' Dance Practice Video,FjJQqOrc7Lg,2020-01-14,male,CIX
ATEEZ(에이티즈) - 'Answer' Dance Practice,gXrmoI8xy28,2020-01-20,male,ATEEZ
VERIVERY - 'PHOTO' Dance Practice Video,Toa1GOXiuQY,2020-01-24,male,Verivery
"Stray Kids ""Levanter (English Ver.)"" Dance Practice Video",WArBilyWTo4,2020-01-26,male,Stray Kids
CIX (씨아이엑스) - 'Black Out' Dance Practice Video,irKGCPgiqWU,2020-01-31,male,CIX
ATEEZ(에이티즈) - '지평선(Horizon)' Dance Practice,Nzw4E-fQoLE,2020-02-04,male,ATEEZ
iKON - '뛰어들게(Dive)' Dance Practice Video,jYJ6xC4wVhE,2020-02-07,male,iKON
[CHOREOGRAPHY] BTS (방탄소년단) 'Black Swan' Dance Practice,fTS1jAhWPbw,2020-02-07,male,BTS
iKON - 'Ah Yeah' Dance Practice Video,nTRblCGzXlQ,2020-02-10,male,iKON
THE BOYZ(더보이즈) 'REVEAL' DANCE PRACTICE VIDEO - REAL VER,qnKGQye9Es0,2020-02-17,male,The Boyz
[CHOREOGRAPHY] BTS (방탄소년단) ‘ON’ Dance Practice,VkuEzN8IS_o,2020-02-25,male,BTS
NCT 127 엔시티 127 '영웅 (英雄; Kick It)' Dance Practice,2U2DBjPJgI4,2020-03-13,male,NCT 127
지코 (ZICO) - 아무노래 (Any song) 안무연습영상|Dance Practice,FLEqAO7OvvQ,2020-03-16,male,Zico
[SPECIAL VIDEO] SEVENTEEN(세븐틴) - 어쩌나 (Oh My!) Dance Practice Fix Ver.,0_L-OE6Q3Mg,2018-08-20,male,Seventeen
PSY - I LUV IT (Dance Practice),djoxtFrybro,2017-05-20,male,PSY
PSY - NEW FACE (Dance Practice),y8Ewdrr7bxA,2017-05-20,male,PSY
TOO 'Magnolia (매그놀리아)' Dance Practice Video,zhdD6j6IzIg,2020-04-05,male,TO1
"GOT7 ""POISON"" Dance Practice",Rf3v-O5kjHY,2020-04-27,male,GOT7
[Dance Practice] CRAVITY (크래비티) - Break all the Rules (Eye Contact ver.),iUFIqmACuKs,2020-05-05,male,CRAVITY
